Timestamp,Temperature(C),Humidity(%),Light_Intensity(lx),Motion
2025-12-04 17:56:04,21.84,58.67,444,0
2025-12-04 17:56:05,27.3,80.13,334,0
2025-12-04 17:56:06,30.96,80.28,453,0
2025-12-04 17:56:07,31.88,75.33,217,0
2025-12-04 17:56:08,31.16,45.96,748,0
2025-12-04 17:56:09,22.33,82.39,547,1
2025-12-04 17:56:10,26.43,74.21,714,0
2025-12-04 17:56:11,30.47,56.84,634,1
2025-12-04 17:56:12,24.37,52.23,456,1
2025-12-04 17:56:13,28.87,48.11,694,1
2025-12-04 17:56:14,21.59,57.53,253,1
2025-12-04 17:56:15,33.74,40.19,330,1
2025-12-04 17:56:16,20.87,85.33,718,0
2025-12-04 17:56:17,28.73,50.13,479,0
2025-12-04 17:56:18,22.69,49.03,771,1
2025-12-04 17:56:19,27.3,59.75,109,0
2025-12-04 17:56:20,26.18,82.97,389,1
2025-12-04 17:56:21,29.93,86.17,668,0
2025-12-04 17:56:22,24.54,53.0,643,0
2025-12-04 17:56:23,24.99,46.54,367,0
